OBJECTID,LE_ID,ENGLISH,COUNTY,GUID,P14_100k,EventDate
2708,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/08/24 00:00:00+00
2709,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2710,1350403,BUNCRANA LEA-5,DONEGAL,2ae19629-3f46-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2711,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,86.5,2020/11/23 00:00:00+00
2712,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,72.1,2020/11/16 00:00:00+00
2713,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,76.9,2020/11/09 00:00:00+00
2714,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,100.9,2020/11/02 00:00:00+00
2715,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,110.5,2020/10/26 00:00:00+00
2716,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,88.9,2020/10/19 00:00:00+00
2717,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,103.3,2020/10/12 00:00:00+00
2718,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,124.9,2020/10/05 00:00:00+00
2719,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,88.9,2020/09/28 00:00:00+00
2720,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,72.1,2020/09/21 00:00:00+00
2721,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,57.7,2020/09/14 00:00:00+00
2722,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,60.1,2020/09/07 00:00:00+00
2723,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,64.9,2020/08/31 00:00:00+00
2724,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,33.6,2020/08/24 00:00:00+00
2725,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,0,2020/08/17 00:00:00+00
2726,13260409,DÚN LAOGHAIRE LEA-7,DUBLIN,2ae19629-3f4e-13a3-e055-000000000001,0,2020/08/10 00:00:00+00
2727,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,56.8,2020/11/23 00:00:00+00
2728,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,132.5,2020/11/16 00:00:00+00
2729,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,217.7,2020/11/09 00:00:00+00
2730,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,444.9,2020/11/02 00:00:00+00
2731,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,733.6,2020/10/26 00:00:00+00
2732,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,582.1,2020/10/19 00:00:00+00
2733,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,298.2,2020/10/12 00:00:00+00
2734,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,146.7,2020/10/05 00:00:00+00
2735,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,52.1,2020/09/28 00:00:00+00
2736,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,33.1,2020/09/21 00:00:00+00
2737,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/09/14 00:00:00+00
2738,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/09/07 00:00:00+00
2739,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/08/31 00:00:00+00
2740,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/08/24 00:00:00+00
2741,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/08/17 00:00:00+00
2742,13200402,SLIGO-STRANDHILL LEA-6,SLIGO,2ae19629-3ef4-13a3-e055-007589300001,0,2020/08/10 00:00:00+00
2743,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,305.5,2020/11/23 00:00:00+00
2744,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,389.4,2020/11/16 00:00:00+00
2745,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,409.5,2020/11/09 00:00:00+00
2746,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,469.9,2020/11/02 00:00:00+00
2747,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,443.1,2020/10/26 00:00:00+00
2748,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,275.3,2020/10/19 00:00:00+00
2749,1350405,LETTERKENNY LEA-7,DONEGAL,2ae19629-3ef4-13a3-e055-700012002301,288.7,2020/10/12 00:00:00+00
